"";"id";"clust";"surrounded";"updated"
"14095";15309;135;20;TRUE
"14096";15310;130;NA;FALSE
"14097";15311;130;NA;FALSE
"14098";15312;36;43;TRUE
"14099";15313;321;NA;FALSE
"14100";15314;9;NA;FALSE
"14101";15315;468;NA;FALSE
"14102";15316;36;NA;FALSE
"14103";15317;23;NA;FALSE
"14104";15318;4;41;TRUE
"14105";15319;191;20;TRUE
"14106";15320;23;NA;FALSE
"14107";15321;156;NA;FALSE
"14108";15322;66;NA;FALSE
"14109";15323;36;NA;FALSE
"14110";15324;65;NA;FALSE
"14111";15325;23;NA;FALSE
"14112";15326;128;21;TRUE
"14113";15327;468;NA;FALSE
"14114";15328;36;NA;FALSE
"14115";15329;163;NA;FALSE
"14116";15330;36;22;TRUE
"14117";15331;321;NA;FALSE
"14118";15332;321;NA;FALSE
"14119";15333;321;NA;FALSE
"14120";15334;468;NA;FALSE
"14121";15335;321;NA;FALSE
"14122";15336;128;NA;FALSE
"14123";15337;321;NA;FALSE
"14124";15338;128;41;TRUE
"14125";15339;66;NA;FALSE
"14126";15340;65;20;TRUE
"14127";15341;321;NA;FALSE
"14128";15342;321;NA;FALSE
"14129";15343;36;NA;FALSE
"14130";15344;36;NA;FALSE
"14131";15345;36;41;TRUE
"14132";15346;51;NA;FALSE
"14133";15347;23;NA;FALSE
"14134";15348;325;NA;FALSE
"14135";15349;128;NA;FALSE
"14136";15350;476;20;TRUE
"14137";15351;36;43;TRUE
"14138";15352;127;NA;FALSE
"14139";15353;325;NA;FALSE
"14140";15354;465;NA;FALSE
"14141";15355;432;NA;FALSE
"14142";15356;51;NA;FALSE
"14143";15357;36;NA;FALSE
"14144";15358;321;NA;FALSE
"14145";15359;130;NA;FALSE
"14146";15360;128;23;TRUE
"14147";15361;128;21;TRUE
"14148";15362;467;NA;FALSE
"14149";15363;66;20;TRUE
"14150";15364;51;NA;FALSE
"14151";15365;51;NA;FALSE
"14152";15366;128;NA;FALSE
"14153";15367;51;NA;FALSE
"14154";15368;51;NA;FALSE
"14155";15369;325;NA;FALSE
"14156";15370;36;NA;FALSE
"14157";15371;135;NA;FALSE
"14158";15372;321;NA;FALSE
"14159";15373;51;NA;FALSE
"14160";15374;127;21;TRUE
"14161";15375;36;21;TRUE
"14162";15376;454;NA;FALSE
"14163";15377;321;42;TRUE
"14164";15378;135;NA;FALSE
"14165";15379;65;19;TRUE
"14166";15380;23;53;TRUE
"14167";15381;479;21;TRUE
"14168";15382;51;NA;FALSE
"14169";15383;468;42;TRUE
"14170";15384;51;19;TRUE
"14171";15385;27;NA;FALSE
"14172";15386;320;20;TRUE
"14173";15387;23;NA;FALSE
"14174";15388;23;43;TRUE
"14175";15389;130;20;TRUE
"14176";15390;479;NA;FALSE
"14177";15391;52;34;TRUE
"14178";15392;135;23;TRUE
"14179";15393;135;20;TRUE
"14180";15394;51;NA;FALSE
"14181";15395;36;NA;FALSE
"14182";15396;479;NA;FALSE
"14183";15397;36;NA;FALSE
"14184";15398;325;NA;FALSE
"14185";15399;163;NA;FALSE
"14186";15400;66;NA;FALSE
"14187";15401;465;NA;FALSE
"14188";15402;467;NA;FALSE
"14189";15403;467;NA;FALSE
"14190";15404;51;53;TRUE
"14191";15405;320;20;TRUE
"14192";15406;51;NA;FALSE
"14193";15407;320;NA;FALSE
"14194";15408;36;20;TRUE
"14195";15409;76;NA;FALSE
"14196";15410;320;NA;FALSE
"14197";15411;163;98;TRUE
"14198";15412;53;20;TRUE
"14199";15413;467;41;TRUE
"14200";15414;128;NA;FALSE
"14201";15415;325;NA;FALSE
"14202";15416;52;35;TRUE
"14203";15417;51;NA;FALSE
"14204";15418;52;NA;FALSE
"14205";15419;52;34;TRUE
"14206";15420;52;NA;FALSE
"14207";15421;52;35;TRUE
"14208";15422;23;NA;FALSE
"14209";15423;320;NA;FALSE
"14210";15424;51;NA;FALSE
"14211";15425;432;20;TRUE
"14212";15426;465;42;TRUE
"14213";15427;325;3;TRUE
"14214";15428;156;2;TRUE
"14215";15429;57;22;TRUE
"14216";15430;320;NA;FALSE
"14217";15431;467;NA;FALSE
"14218";15432;19;NA;FALSE
"14219";15433;19;NA;FALSE
"14220";15434;19;NA;FALSE
"14221";15435;19;NA;FALSE
"14222";15436;19;NA;FALSE
"14223";15437;15;NA;FALSE
"14224";15438;15;NA;FALSE
"14225";15439;19;NA;FALSE
"14226";15440;19;NA;FALSE
"14227";15441;671;NA;FALSE
"14228";15442;671;NA;FALSE
"14229";15443;19;NA;FALSE
"14230";15444;19;NA;FALSE
"14231";15445;19;NA;FALSE
"14232";15446;19;NA;FALSE
"14233";15447;19;2;TRUE
"14234";15448;62;NA;FALSE
"14235";15449;63;NA;FALSE
"14236";15450;671;NA;FALSE
"14237";15451;671;NA;FALSE
"14238";15452;743;NA;FALSE
"14239";15453;40;NA;FALSE
"14240";15454;112;NA;FALSE
"14241";15455;112;NA;FALSE
"14242";15456;19;NA;FALSE
"14243";15457;19;NA;FALSE
"14244";15458;671;NA;FALSE
"14245";15459;19;NA;FALSE
"14246";15460;77;NA;FALSE
"14247";15461;77;NA;FALSE
"14248";15462;74;NA;FALSE
"14249";15463;74;NA;FALSE
"14250";15464;46;NA;FALSE
"14251";15465;46;NA;FALSE
"14252";15466;15;NA;FALSE
"14253";15467;743;NA;FALSE
"14254";15468;743;NA;FALSE
"14255";15469;19;NA;FALSE
"14256";15470;19;NA;FALSE
"14257";15471;19;NA;FALSE
"14258";15472;19;NA;FALSE
"14259";15473;19;NA;FALSE
"14260";15474;671;NA;FALSE
"14261";15475;204;NA;FALSE
"14262";15479;480;NA;FALSE
"14263";15480;480;NA;FALSE
"14264";15481;539;NA;FALSE
"14265";15482;19;NA;FALSE
"14266";15483;478;NA;FALSE
"14267";15484;478;NA;FALSE
"14268";15485;145;NA;FALSE
"14269";15486;145;20;TRUE
"14270";15487;140;NA;FALSE
"14271";15488;140;3;TRUE
"14272";15489;671;NA;FALSE
"14273";15490;480;NA;FALSE
"14274";15491;480;NA;FALSE
"14275";15492;63;NA;FALSE
"14276";15493;63;NA;FALSE
"14277";15494;19;NA;FALSE
"14278";15495;19;NA;FALSE
"14279";15496;671;NA;FALSE
"14280";15497;481;NA;FALSE
"14281";15498;481;NA;FALSE
"14282";15499;74;NA;FALSE
"14283";15500;63;NA;FALSE
"14284";15501;743;20;TRUE
"14285";15502;429;NA;FALSE
"14286";15503;429;NA;FALSE
"14287";15504;478;NA;FALSE
"14288";15505;480;NA;FALSE
"14289";15506;480;NA;FALSE
"14290";15507;19;NA;FALSE
