"";"id";"clust";"surrounded";"updated"
"7791";8884;900;TRUE;TRUE
"7792";8885;419;TRUE;FALSE
"7793";8886;334;TRUE;FALSE
"7794";8887;903;TRUE;FALSE
"7795";8888;345;TRUE;TRUE
"7796";8889;347;TRUE;TRUE
"7797";8890;338;TRUE;TRUE
"7798";8891;345;TRUE;TRUE
"7799";8892;347;TRUE;FALSE
"7800";8893;334;TRUE;FALSE
"7801";8894;347;TRUE;FALSE
"7802";8895;349;TRUE;TRUE
"7803";8896;901;TRUE;FALSE
"7804";8897;901;TRUE;FALSE
"7805";8898;419;TRUE;FALSE
"7806";8899;419;TRUE;FALSE
"7807";8900;419;TRUE;TRUE
"7808";8901;338;TRUE;TRUE
"7809";8902;419;TRUE;TRUE
"7810";8903;902;TRUE;FALSE
"7811";8904;338;TRUE;TRUE
"7812";8905;334;TRUE;TRUE
"7813";8906;334;TRUE;TRUE
"7814";8907;915;TRUE;TRUE
"7815";8908;347;TRUE;FALSE
"7816";8909;903;TRUE;FALSE
"7817";8910;900;TRUE;FALSE
"7818";8911;900;TRUE;FALSE
"7819";8912;347;TRUE;TRUE
"7820";8913;334;TRUE;TRUE
"7821";8914;338;TRUE;FALSE
"7822";8915;922;TRUE;FALSE
"7823";8916;338;TRUE;FALSE
"7824";8917;347;TRUE;FALSE
"7825";8918;900;TRUE;FALSE
"7826";8919;345;TRUE;TRUE
"7827";8920;346;TRUE;FALSE
"7828";8921;906;TRUE;FALSE
"7829";8922;903;TRUE;FALSE
"7830";8923;338;TRUE;FALSE
"7831";8924;419;TRUE;FALSE
"7832";8925;338;TRUE;FALSE
"7833";8926;338;TRUE;FALSE
"7834";8927;338;TRUE;FALSE
"7835";8928;338;TRUE;TRUE
"7836";8929;419;TRUE;FALSE
"7837";8930;419;TRUE;FALSE
"7838";8931;900;TRUE;FALSE
"7839";8932;334;TRUE;FALSE
"7840";8933;440;TRUE;FALSE
"7841";8934;900;TRUE;FALSE
"7842";8935;419;TRUE;FALSE
"7843";8936;343;TRUE;FALSE
"7844";8937;900;TRUE;FALSE
"7845";8938;906;TRUE;FALSE
"7846";8939;915;TRUE;FALSE
"7847";8940;338;TRUE;TRUE
"7848";8941;338;TRUE;FALSE
"7849";8942;900;TRUE;FALSE
"7850";8943;343;TRUE;FALSE
"7851";8944;345;TRUE;TRUE
"7852";8945;346;TRUE;FALSE
"7853";8946;902;TRUE;TRUE
"7854";8947;439;TRUE;FALSE
"7855";8948;338;TRUE;TRUE
"7856";8949;903;TRUE;TRUE
"7857";8950;346;TRUE;TRUE
"7858";8951;338;TRUE;FALSE
"7859";8952;900;TRUE;FALSE
"7860";8953;902;TRUE;TRUE
"7861";8954;419;TRUE;TRUE
"7862";8955;439;TRUE;FALSE
"7863";8956;419;TRUE;TRUE
"7864";8957;338;TRUE;FALSE
"7865";8958;915;TRUE;TRUE
"7866";8959;901;TRUE;TRUE
"7867";8960;900;TRUE;TRUE
"7868";8961;901;TRUE;TRUE
"7869";8962;901;TRUE;TRUE
"7870";8963;900;TRUE;FALSE
"7871";8964;907;TRUE;FALSE
"7872";8965;902;TRUE;FALSE
"7873";8966;419;TRUE;FALSE
"7874";8967;338;TRUE;FALSE
"7875";8968;419;TRUE;TRUE
"7876";8969;338;TRUE;TRUE
"7877";8970;439;TRUE;TRUE
"7878";8971;439;TRUE;FALSE
"7879";8972;915;TRUE;FALSE
"7880";8973;903;TRUE;FALSE
"7881";8974;345;TRUE;FALSE
"7882";8975;901;TRUE;FALSE
"7883";8976;419;TRUE;FALSE
"7884";8977;901;TRUE;FALSE
"7885";8978;907;TRUE;FALSE
"7886";8979;902;TRUE;FALSE
"7887";8980;346;TRUE;FALSE
"7888";8981;345;TRUE;FALSE
"7889";8982;918;TRUE;FALSE
"7890";8983;907;TRUE;FALSE
"7891";8984;903;TRUE;FALSE
"7892";8985;903;TRUE;FALSE
"7893";8986;903;TRUE;TRUE
"7894";8987;440;TRUE;FALSE
"7895";8988;439;TRUE;FALSE
"7896";8989;922;TRUE;FALSE
"7897";8990;903;TRUE;FALSE
"7898";8991;902;TRUE;FALSE
"7899";8992;439;TRUE;FALSE
"7900";8993;903;TRUE;TRUE
"7901";8994;901;TRUE;FALSE
"7902";8995;338;TRUE;TRUE
"7903";8996;338;TRUE;FALSE
"7904";8997;338;TRUE;TRUE
"7905";8998;338;TRUE;TRUE
"7906";8999;338;TRUE;TRUE
"7907";9000;346;TRUE;TRUE
"7908";9001;900;TRUE;FALSE
"7909";9002;419;TRUE;FALSE
"7910";9003;419;TRUE;FALSE
"7911";9004;903;TRUE;TRUE
"7912";9005;903;TRUE;TRUE
"7913";9006;903;TRUE;FALSE
"7914";9007;347;TRUE;FALSE
"7915";9008;345;TRUE;TRUE
"7916";9009;439;TRUE;FALSE
